canonical	footballdata	clubelo	fbref	oddsapi	verified
Paris SG	Paris SG	Paris SG	Paris Saint-Germain		partial
Paris FC	Paris FC	Paris FC	Paris FC		partial
Marseille	Marseille	Marseille	Marseille		partial
Monaco	Monaco	Monaco	Monaco		partial
Lyon	Lyon	Lyon	Lyon		partial
Lille	Lille	Lille	Lille		partial
Rennes	Rennes	Rennes	Rennes		partial
Lens	Lens	Lens	Lens		partial
Nice	Nice	Nice	Nice		partial
Strasbourg	Strasbourg	Strasbourg	Strasbourg		partial
Toulouse	Toulouse	Toulouse	Toulouse		partial
Lorient	Lorient	Lorient	Lorient		partial
Auxerre	Auxerre	Auxerre	Auxerre		partial
Brest	Brest	Brest	Brest		partial
Le Havre	Le Havre	Le Havre	Le Havre		partial
Angers	Angers	Angers	Angers		partial
Metz	Metz	Metz	Metz		TODO_clubelo_fbref
Nantes	Nantes	Nantes	Nantes		TODO_clubelo_fbref
