team,attack,defence,net
Paris SG,0.6044,0.3749,0.9793
Lens,0.1960,0.3274,0.5234
Marseille,0.3201,0.2022,0.5223
Rennes,0.3079,0.1381,0.4459
Monaco,0.3496,0.0892,0.4388
Lille,0.1499,0.2706,0.4205
Lyon,0.2625,0.0817,0.3441
Nice,0.0474,0.2552,0.3026
Strasbourg,0.1370,0.0714,0.2083
Paris FC,0.1023,0.0158,0.1181
Toulouse,0.0428,0.0684,0.1112
Brest,0.0525,0.0128,0.0653
Reims,-0.1377,0.1489,0.0111
Lorient,-0.0357,-0.0954,-0.1311
Auxerre,-0.1355,-0.0023,-0.1378
Nantes,-0.1795,0.0061,-0.1734
Montpellier,-0.0241,-0.1649,-0.1890
Le Havre,-0.1864,-0.0384,-0.2248
Clermont,-0.2690,-0.0892,-0.3583
Troyes,-0.1993,-0.1894,-0.3887
Angers,-0.2959,-0.0953,-0.3912
Bordeaux,0.0404,-0.5044,-0.4640
St Etienne,-0.1340,-0.3625,-0.4964
Metz,-0.2777,-0.2430,-0.5207
Ajaccio,-0.7378,-0.2779,-1.0157
